jw_entity_id,title,type,release_year,seasons
ts28221,Robotech,show,1985,3
ts199,Black Lagoon,show,2006,3
ts25674,Serial Experiments Lain,show,1998,1
ts20388,Psycho-Pass,show,2012,4
ts27309,Paranoia Agent,show,2004,1
ts28010,High School DxD,show,2012,4
ts12787,Code Geass: Lelouch of the Rebellion,show,2006,3
ts22056,TRIGUN,show,1998,1
ts22113,Initial D,show,1998,6
ts19528,Ergo Proxy,show,2006,1
ts22595,Speed Racer,show,1967,1
ts21983,Death Parade,show,2015,1
ts29930,Panty & Stocking with Garterbelt,show,2010,1
ts20738,Ranma ½,show,1989,7
ts29613,The Tatami Galaxy,show,2010,1
ts34370,Higurashi: When They Cry,show,2006,3
ts25497,Outlaw Star,show,1998,1
ts6055,Claymore,show,2007,1
ts57405,Record of Lodoss War,show,1990,1
ts30077,Durarara!!,show,2010,2
ts27269,The Vision of Escaflowne,show,1996,1
ts21740,Black Butler,show,2008,3
ts29428,Welcome to the N.H.K.,show,2006,1
ts58289,Mobile Suit Zeta Gundam,show,1985,1
ts23030,Space Dandy,show,2014,2
ts25863,Soul Eater,show,2008,1
ts44983,Prison School,show,2015,1
ts21676,Hellsing,show,2001,1
ts41906,The Disastrous Life of Saiki K.,show,2016,3
ts33350,Star Blazers [Space Battleship Yamato] 2199,show,2013,2
ts287384,Sonny Boy,show,2021,1
ts285135,Mieruko-chan,show,2021,1
ts23060,Ping Pong the Animation,show,2014,1
ts286788,LINK CLICK,show,2021,1
ts20686,Terror in Resonance,show,2014,1
ts3805,Afro Samurai,show,2007,1
ts25846,Spice and Wolf,show,2008,2
ts82130,How Not to Summon a Demon Lord,show,2018,2
ts59417,Desert Punk,show,2004,1
ts7449,D.Gray-man,show,2006,2
ts36581,Wolf's Rain,show,2003,1
ts16814,.hack,show,2002,3
ts33423,Gungrave,show,2003,1
ts23055,Knights of Sidonia,show,2014,2
ts18066,Blood-C,show,2011,1
ts32712,Deadman Wonderland,show,2011,1
ts3506,Astro Boy,show,1963,1
ts4325,Freezing,show,2011,2
ts35525,Kamisama Kiss,show,2012,2
ts28832,Slayers,show,1995,5
ts250982,My Senpai Is Annoying,show,2021,1
ts35198,Seraph of the End,show,2015,3
ts27099,Guyver: The Bioboosted Armor,show,2005,1
ts12978,Space Cobra,show,1982,1
ts30288,Mobile Suit Gundam Unicorn,show,2010,2
ts23180,The Sacred Blacksmith,show,2009,1
ts959,Basilisk,show,2005,2
ts33824,Maken-Ki! Battling Venus,show,2011,2
ts10558,Eureka Seven,show,2005,2
ts33615,Silver Spoon,show,2013,2
